ssip,sdfp,sdfb,sfe,rfip,traffic_type
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
160,77494.23207315488,12554065.59585109,160,0.0,1
160,0.3882832585740581,62.901887888997415,160,0.0,1
160,0.28613807855649,46.35436872615137,160,0.0,1
160,0.3252603124165832,52.69217061148648,160,0.0,1
160,0.2892083903616137,46.85175923858142,160,0.0,1
160,0.1682735042192389,27.260307683516707,160,0.0,1
160,0.23227998849568499,37.629358136300965,160,0.0,1
160,0.26057495189590946,42.213142207137345,160,0.0,1
160,0.3213942607349007,52.065870239053915,160,0.0,1
160,0.2992757461309256,48.48267087320995,160,0.0,1
160,0.20614475429227452,33.39545019534847,160,0.0,1
160,0.09090593428863097,14.726761354758212,160,0.0,1
126,0.1021895342007234,16.55470454051719,126,0.0,1
160,1.1774501640786708,190.74692658074474,160,0.0,1
160,0.38828325857405815,62.901887888997415,160,0.0,1
160,0.2892083903616138,46.85175923858142,160,0.0,1
160,0.3252603124165832,52.69217061148648,160,0.0,1
160,0.2892083903616137,46.85175923858142,160,0.0,1
160,0.16827350421923892,27.26030768351671,160,0.0,1
160,0.2362907813126304,38.279106572646135,160,0.0,1
160,0.26057495189590946,42.213142207137345,160,0.0,1
160,0.32392986209294683,52.47663765905739,160,0.0,1
160,0.2992757461309256,48.48267087320995,160,0.0,1
160,0.21529009821375644,34.87699591062854,160,0.0,1
160,0.1015291077584267,16.447715456865126,160,0.0,1
160,0.11987768650679835,19.420185214101327,160,0.0,1
160,0.2776310376300812,44.97622809607314,160,0.0,1
160,0.15612494995995996,25.29224189351351,160,0.0,1
160,0.3148798271651513,51.01053200075451,160,0.0,1
160,0.293143582092841,47.48926029904025,160,0.0,1
160,0.22398497903505346,36.28556660367866,160,0.0,1
77,0.0924465973686518,14.97634877372159,77,0.0,1
160,0.16232629604869594,26.29685995988875,160,0.0,1
160,0.28087165910587863,45.501208775152335,160,0.0,1
160,0.11987768650679835,19.420185214101327,160,0.0,1
160,0.3338472600689656,54.08325613117243,160,0.0,1
160,0.3327534017690712,53.90605108658953,160,0.0,1
160,0.27230370095824175,44.11319955523517,160,0.0,1
160,0.21529009821375644,34.876995910628544,160,0.0,1
160,0.11149240133549708,18.061769016350524,160,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
160,0.04559597630883184,7.386548162030762,160,0.0,1
160,0.04559597630883184,7.386548162030762,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.06441510347391792,10.435246762774703,160,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
33,0.0,0.0,33,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.06441510347391793,10.435246762774705,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.045595976308831845,7.386548162030761,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
11,0.0,0.0,11,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883184,7.386548162030762,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.06441510347391793,10.435246762774705,160,0.0,1
160,0.06441510347391793,10.435246762774705,160,0.0,1
138,0.0,0.0,138,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.07880950133074056,12.767139215579975,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.06441510347391793,10.435246762774703,160,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
160,0.06441510347391793,10.435246762774705,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.06441510347391793,10.435246762774707,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
28,0.0,0.0,28,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.06441510347391792,10.435246762774703,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.06441510347391792,10.435246762774703,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883184,7.386548162030762,160,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
19,0.0,0.0,19,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.06441510347391793,10.435246762774703,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.04559597630883185,7.386548162030761,160,0.0,1
160,0.045595976308831845,7.386548162030762,160,0.0,1
160,0.0,0.0,160,0.0,1
152,0.04677791449057356,7.5780221474729155,152,0.0,1
160,0.0,0.0,160,0.0,1
160,0.0,0.0,160,0.0,1
160,0.06441510347391793,10.435246762774703,160,0.0,1
